tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,CA
1,2,1,1,1,0,0.0303,0.0999,0.0254,1,0,0,0,0,0,0,0,0,0,0,0,1
1,3,1,1,1,0,0.0129,0.0424,0.01082,1,0,0,0,0,0,0,0,0,0,0,0,1
4,5,1,1,1,0,0.00176,0.00798,0.0021,1,0,0,0,0,0,0,0,0,0,0,0,1
3,5,1,1,1,0,0.0241,0.108,0.0284,1,0,0,0,0,0,0,0,0,0,0,0,1
5,6,1,1,1,0,0.0119,0.054,0.01426,1,0,0,0,0,0,0,0,0,0,0,0,1
6,7,1,1,1,0,0.00459,0.0208,0.0055,1,0,0,0,0,0,0,0,0,0,0,0,1
8,9,1,1,1,0,0.00244,0.0305,1.162,1,0,0,0,0,0,0,0,0,0,0,0,1
8,5,1,1,1,1,0,0.0267,0,1,0,0,0,0,0.985,0,0,0,0,0,0,1
9,10,1,1,1,0,0.00258,0.0322,1.23,1,0,0,0,0,0,0,0,0,0,0,0,1
4,11,1,1,1,0,0.0209,0.0688,0.01748,1,0,0,0,0,0,0,0,0,0,0,0,1
5,11,1,1,1,0,0.0203,0.0682,0.01738,1,0,0,0,0,0,0,0,0,0,0,0,1
11,12,1,1,1,0,0.00595,0.0196,0.00502,1,0,0,0,0,0,0,0,0,0,0,0,1
2,12,1,1,1,0,0.0187,0.0616,0.01572,1,0,0,0,0,0,0,0,0,0,0,0,1
3,12,1,1,1,0,0.0484,0.16,0.0406,1,0,0,0,0,0,0,0,0,0,0,0,1
7,12,1,1,1,0,0.00862,0.034,0.00874,1,0,0,0,0,0,0,0,0,0,0,0,1
11,13,1,1,1,0,0.02225,0.0731,0.01876,1,0,0,0,0,0,0,0,0,0,0,0,1
12,14,1,1,1,0,0.0215,0.0707,0.01816,1,0,0,0,0,0,0,0,0,0,0,0,1
13,15,1,1,1,0,0.0744,0.2444,0.06268,1,0,0,0,0,0,0,0,0,0,0,0,1
14,15,1,1,1,0,0.0595,0.195,0.0502,1,0,0,0,0,0,0,0,0,0,0,0,1
12,16,1,1,1,0,0.0212,0.0834,0.0214,1,0,0,0,0,0,0,0,0,0,0,0,1
15,17,1,1,1,0,0.0132,0.0437,0.0444,1,0,0,0,0,0,0,0,0,0,0,0,1
16,17,1,1,1,0,0.0454,0.1801,0.0466,1,0,0,0,0,0,0,0,0,0,0,0,1
17,18,1,1,1,0,0.0123,0.0505,0.01298,1,0,0,0,0,0,0,0,0,0,0,0,1
18,19,1,1,1,0,0.01119,0.0493,0.01142,1,0,0,0,0,0,0,0,0,0,0,0,1
19,20,1,1,1,0,0.0252,0.117,0.0298,1,0,0,0,0,0,0,0,0,0,0,0,1
15,19,1,1,1,0,0.012,0.0394,0.0101,1,0,0,0,0,0,0,0,0,0,0,0,1
20,21,1,1,1,0,0.0183,0.0849,0.0216,1,0,0,0,0,0,0,0,0,0,0,0,1
21,22,1,1,1,0,0.0209,0.097,0.0246,1,0,0,0,0,0,0,0,0,0,0,0,1
22,23,1,1,1,0,0.0342,0.159,0.0404,1,0,0,0,0,0,0,0,0,0,0,0,1
23,24,1,1,1,0,0.0135,0.0492,0.0498,1,0,0,0,0,0,0,0,0,0,0,0,1
23,25,1,1,1,0,0.0156,0.08,0.0864,1,0,0,0,0,0,0,0,0,0,0,0,1
26,25,1,1,1,1,0,0.0382,0,1,0,0,0,0,0.96,0,0,0,0,0,0,1
25,27,1,1,1,0,0.0318,0.163,0.1764,1,0,0,0,0,0,0,0,0,0,0,0,1
27,28,1,1,1,0,0.01913,0.0855,0.0216,1,0,0,0,0,0,0,0,0,0,0,0,1
28,29,1,1,1,0,0.0237,0.0943,0.0238,1,0,0,0,0,0,0,0,0,0,0,0,1
30,17,1,1,1,1,0,0.0388,0,1,0,0,0,0,0.96,0,0,0,0,0,0,1
8,30,1,1,1,0,0.00431,0.0504,0.514,1,0,0,0,0,0,0,0,0,0,0,0,1
26,30,1,1,1,0,0.00799,0.086,0.908,1,0,0,0,0,0,0,0,0,0,0,0,1
17,31,1,1,1,0,0.0474,0.1563,0.0399,1,0,0,0,0,0,0,0,0,0,0,0,1
29,31,1,1,1,0,0.0108,0.0331,0.0083,1,0,0,0,0,0,0,0,0,0,0,0,1
23,32,1,1,1,0,0.0317,0.1153,0.1173,1,0,0,0,0,0,0,0,0,0,0,0,1
31,32,1,1,1,0,0.0298,0.0985,0.0251,1,0,0,0,0,0,0,0,0,0,0,0,1
27,32,1,1,1,0,0.0229,0.0755,0.01926,1,0,0,0,0,0,0,0,0,0,0,0,1
15,33,1,1,1,0,0.038,0.1244,0.03194,1,0,0,0,0,0,0,0,0,0,0,0,1
19,34,1,1,1,0,0.0752,0.247,0.0632,1,0,0,0,0,0,0,0,0,0,0,0,1
35,36,1,1,1,0,0.00224,0.0102,0.00268,1,0,0,0,0,0,0,0,0,0,0,0,1
35,37,1,1,1,0,0.011,0.0497,0.01318,1,0,0,0,0,0,0,0,0,0,0,0,1
33,37,1,1,1,0,0.0415,0.142,0.0366,1,0,0,0,0,0,0,0,0,0,0,0,1
34,36,1,1,1,0,0.00871,0.0268,0.00568,1,0,0,0,0,0,0,0,0,0,0,0,1
34,37,1,1,1,0,0.00256,0.0094,0.00984,1,0,0,0,0,0,0,0,0,0,0,0,1
38,37,1,1,1,1,0,0.0375,0,1,0,0,0,0,0.935,0,0,0,0,0,0,1
37,39,1,1,1,0,0.0321,0.106,0.027,1,0,0,0,0,0,0,0,0,0,0,0,1
37,40,1,1,1,0,0.0593,0.168,0.042,1,0,0,0,0,0,0,0,0,0,0,0,1
30,38,1,1,1,0,0.00464,0.054,0.422,1,0,0,0,0,0,0,0,0,0,0,0,1
39,40,1,1,1,0,0.0184,0.0605,0.01552,1,0,0,0,0,0,0,0,0,0,0,0,1
40,41,1,1,1,0,0.0145,0.0487,0.01222,1,0,0,0,0,0,0,0,0,0,0,0,1
40,42,1,1,1,0,0.0555,0.183,0.0466,1,0,0,0,0,0,0,0,0,0,0,0,1
41,42,1,1,1,0,0.041,0.135,0.0344,1,0,0,0,0,0,0,0,0,0,0,0,1
43,44,1,1,1,0,0.0608,0.2454,0.06068,1,0,0,0,0,0,0,0,0,0,0,0,1
34,43,1,1,1,0,0.0413,0.1681,0.04226,1,0,0,0,0,0,0,0,0,0,0,0,1
44,45,1,1,1,0,0.0224,0.0901,0.0224,1,0,0,0,0,0,0,0,0,0,0,0,1
45,46,1,1,1,0,0.04,0.1356,0.0332,1,0,0,0,0,0,0,0,0,0,0,0,1
46,47,1,1,1,0,0.038,0.127,0.0316,1,0,0,0,0,0,0,0,0,0,0,0,1
46,48,1,1,1,0,0.0601,0.189,0.0472,1,0,0,0,0,0,0,0,0,0,0,0,1
47,49,1,1,1,0,0.0191,0.0625,0.01604,1,0,0,0,0,0,0,0,0,0,0,0,1
42,49,1,1,1,0,0.0715,0.323,0.086,1,0,0,0,0,0,0,0,0,0,0,0,1
42,49,1,1,1,0,0.0715,0.323,0.086,1,0,0,0,0,0,0,0,0,0,0,0,1
45,49,1,1,1,0,0.0684,0.186,0.0444,1,0,0,0,0,0,0,0,0,0,0,0,1
48,49,1,1,1,0,0.0179,0.0505,0.01258,1,0,0,0,0,0,0,0,0,0,0,0,1
49,50,1,1,1,0,0.0267,0.0752,0.01874,1,0,0,0,0,0,0,0,0,0,0,0,1
49,51,1,1,1,0,0.0486,0.137,0.0342,1,0,0,0,0,0,0,0,0,0,0,0,1
51,52,1,1,1,0,0.0203,0.0588,0.01396,1,0,0,0,0,0,0,0,0,0,0,0,1
52,53,1,1,1,0,0.0405,0.1635,0.04058,1,0,0,0,0,0,0,0,0,0,0,0,1
53,54,1,1,1,0,0.0263,0.122,0.031,1,0,0,0,0,0,0,0,0,0,0,0,1
49,54,1,1,1,0,0.073,0.289,0.0738,1,0,0,0,0,0,0,0,0,0,0,0,1
49,54,1,1,1,0,0.0869,0.291,0.073,1,0,0,0,0,0,0,0,0,0,0,0,1
54,55,1,1,1,0,0.0169,0.0707,0.0202,1,0,0,0,0,0,0,0,0,0,0,0,1
54,56,1,1,1,0,0.00275,0.00955,0.00732,1,0,0,0,0,0,0,0,0,0,0,0,1
55,56,1,1,1,0,0.00488,0.0151,0.00374,1,0,0,0,0,0,0,0,0,0,0,0,1
56,57,1,1,1,0,0.0343,0.0966,0.0242,1,0,0,0,0,0,0,0,0,0,0,0,1
50,57,1,1,1,0,0.0474,0.134,0.0332,1,0,0,0,0,0,0,0,0,0,0,0,1
56,58,1,1,1,0,0.0343,0.0966,0.0242,1,0,0,0,0,0,0,0,0,0,0,0,1
51,58,1,1,1,0,0.0255,0.0719,0.01788,1,0,0,0,0,0,0,0,0,0,0,0,1
54,59,1,1,1,0,0.0503,0.2293,0.0598,1,0,0,0,0,0,0,0,0,0,0,0,1
56,59,1,1,1,0,0.0825,0.251,0.0569,1,0,0,0,0,0,0,0,0,0,0,0,1
56,59,1,1,1,0,0.0803,0.239,0.0536,1,0,0,0,0,0,0,0,0,0,0,0,1
55,59,1,1,1,0,0.04739,0.2158,0.05646,1,0,0,0,0,0,0,0,0,0,0,0,1
59,60,1,1,1,0,0.0317,0.145,0.0376,1,0,0,0,0,0,0,0,0,0,0,0,1
59,61,1,1,1,0,0.0328,0.15,0.0388,1,0,0,0,0,0,0,0,0,0,0,0,1
60,61,1,1,1,0,0.00264,0.0135,0.01456,1,0,0,0,0,0,0,0,0,0,0,0,1
60,62,1,1,1,0,0.0123,0.0561,0.01468,1,0,0,0,0,0,0,0,0,0,0,0,1
61,62,1,1,1,0,0.00824,0.0376,0.0098,1,0,0,0,0,0,0,0,0,0,0,0,1
63,59,1,1,1,1,0,0.0386,0,1,0,0,0,0,0.96,0,0,0,0,0,0,1
63,64,1,1,1,0,0.00172,0.02,0.216,1,0,0,0,0,0,0,0,0,0,0,0,1
64,61,1,1,1,1,0,0.0268,0,1,0,0,0,0,0.985,0,0,0,0,0,0,1
38,65,1,1,1,0,0.00901,0.0986,1.046,1,0,0,0,0,0,0,0,0,0,0,0,1
64,65,1,1,1,0,0.00269,0.0302,0.38,1,0,0,0,0,0,0,0,0,0,0,0,1
49,66,1,1,1,0,0.018,0.0919,0.0248,1,0,0,0,0,0,0,0,0,0,0,0,1
49,66,1,1,1,0,0.018,0.0919,0.0248,1,0,0,0,0,0,0,0,0,0,0,0,1
62,66,1,1,1,0,0.0482,0.218,0.0578,1,0,0,0,0,0,0,0,0,0,0,0,1
62,67,1,1,1,0,0.0258,0.117,0.031,1,0,0,0,0,0,0,0,0,0,0,0,1
65,66,1,1,1,1,0,0.037,0,1,0,0,0,0,0.935,0,0,0,0,0,0,1
66,67,1,1,1,0,0.0224,0.1015,0.02682,1,0,0,0,0,0,0,0,0,0,0,0,1
65,68,1,1,1,0,0.00138,0.016,0.638,1,0,0,0,0,0,0,0,0,0,0,0,1
47,69,1,1,1,0,0.0844,0.2778,0.07092,1,0,0,0,0,0,0,0,0,0,0,0,1
49,69,1,1,1,0,0.0985,0.324,0.0828,1,0,0,0,0,0,0,0,0,0,0,0,1
68,69,1,1,1,1,0,0.037,0,1,0,0,0,0,0.935,0,0,0,0,0,0,1
69,70,1,1,1,0,0.03,0.127,0.122,1,0,0,0,0,0,0,0,0,0,0,0,1
24,70,1,1,1,0,0.00221,0.4115,0.10198,1,0,0,0,0,0,0,0,0,0,0,0,1
70,71,1,1,1,0,0.00882,0.0355,0.00878,1,0,0,0,0,0,0,0,0,0,0,0,1
24,72,1,1,1,0,0.0488,0.196,0.0488,1,0,0,0,0,0,0,0,0,0,0,0,1
71,72,1,1,1,0,0.0446,0.18,0.04444,1,0,0,0,0,0,0,0,0,0,0,0,1
71,73,1,1,1,0,0.00866,0.0454,0.01178,1,0,0,0,0,0,0,0,0,0,0,0,1
70,74,1,1,1,0,0.0401,0.1323,0.03368,1,0,0,0,0,0,0,0,0,0,0,0,1
70,75,1,1,1,0,0.0428,0.141,0.036,1,0,0,0,0,0,0,0,0,0,0,0,1
69,75,1,1,1,0,0.0405,0.122,0.124,1,0,0,0,0,0,0,0,0,0,0,0,1
74,75,1,1,1,0,0.0123,0.0406,0.01034,1,0,0,0,0,0,0,0,0,0,0,0,1
76,77,1,1,1,0,0.0444,0.148,0.0368,1,0,0,0,0,0,0,0,0,0,0,0,1
69,77,1,1,1,0,0.0309,0.101,0.1038,1,0,0,0,0,0,0,0,0,0,0,0,1
75,77,1,1,1,0,0.0601,0.1999,0.04978,1,0,0,0,0,0,0,0,0,0,0,0,1
77,78,1,1,1,0,0.00376,0.0124,0.01264,1,0,0,0,0,0,0,0,0,0,0,0,1
78,79,1,1,1,0,0.00546,0.0244,0.00648,1,0,0,0,0,0,0,0,0,0,0,0,1
77,80,1,1,1,0,0.017,0.0485,0.0472,1,0,0,0,0,0,0,0,0,0,0,0,1
77,80,1,1,1,0,0.0294,0.105,0.0228,1,0,0,0,0,0,0,0,0,0,0,0,1
79,80,1,1,1,0,0.0156,0.0704,0.0187,1,0,0,0,0,0,0,0,0,0,0,0,1
68,81,1,1,1,0,0.00175,0.0202,0.808,1,0,0,0,0,0,0,0,0,0,0,0,1
81,80,1,1,1,1,0,0.037,0,1,0,0,0,0,0.935,0,0,0,0,0,0,1
77,82,1,1,1,0,0.0298,0.0853,0.08174,1,0,0,0,0,0,0,0,0,0,0,0,1
82,83,1,1,1,0,0.0112,0.03665,0.03796,1,0,0,0,0,0,0,0,0,0,0,0,1
83,84,1,1,1,0,0.0625,0.132,0.0258,1,0,0,0,0,0,0,0,0,0,0,0,1
83,85,1,1,1,0,0.043,0.148,0.0348,1,0,0,0,0,0,0,0,0,0,0,0,1
84,85,1,1,1,0,0.0302,0.0641,0.01234,1,0,0,0,0,0,0,0,0,0,0,0,1
85,86,1,1,1,0,0.035,0.123,0.0276,1,0,0,0,0,0,0,0,0,0,0,0,1
86,87,1,1,1,0,0.02828,0.2074,0.0445,1,0,0,0,0,0,0,0,0,0,0,0,1
85,88,1,1,1,0,0.02,0.102,0.0276,1,0,0,0,0,0,0,0,0,0,0,0,1
85,89,1,1,1,0,0.0239,0.173,0.047,1,0,0,0,0,0,0,0,0,0,0,0,1
88,89,1,1,1,0,0.0139,0.0712,0.01934,1,0,0,0,0,0,0,0,0,0,0,0,1
89,90,1,1,1,0,0.0518,0.188,0.0528,1,0,0,0,0,0,0,0,0,0,0,0,1
89,90,1,1,1,0,0.0238,0.0997,0.106,1,0,0,0,0,0,0,0,0,0,0,0,1
90,91,1,1,1,0,0.0254,0.0836,0.0214,1,0,0,0,0,0,0,0,0,0,0,0,1
89,92,1,1,1,0,0.0099,0.0505,0.0548,1,0,0,0,0,0,0,0,0,0,0,0,1
89,92,1,1,1,0,0.0393,0.1581,0.0414,1,0,0,0,0,0,0,0,0,0,0,0,1
91,92,1,1,1,0,0.0387,0.1272,0.03268,1,0,0,0,0,0,0,0,0,0,0,0,1
92,93,1,1,1,0,0.0258,0.0848,0.0218,1,0,0,0,0,0,0,0,0,0,0,0,1
92,94,1,1,1,0,0.0481,0.158,0.0406,1,0,0,0,0,0,0,0,0,0,0,0,1
93,94,1,1,1,0,0.0223,0.0732,0.01876,1,0,0,0,0,0,0,0,0,0,0,0,1
94,95,1,1,1,0,0.0132,0.0434,0.0111,1,0,0,0,0,0,0,0,0,0,0,0,1
80,96,1,1,1,0,0.0356,0.182,0.0494,1,0,0,0,0,0,0,0,0,0,0,0,1
82,96,1,1,1,0,0.0162,0.053,0.0544,1,0,0,0,0,0,0,0,0,0,0,0,1
94,96,1,1,1,0,0.0269,0.0869,0.023,1,0,0,0,0,0,0,0,0,0,0,0,1
80,97,1,1,1,0,0.0183,0.0934,0.0254,1,0,0,0,0,0,0,0,0,0,0,0,1
80,98,1,1,1,0,0.0238,0.108,0.0286,1,0,0,0,0,0,0,0,0,0,0,0,1
80,99,1,1,1,0,0.0454,0.206,0.0546,1,0,0,0,0,0,0,0,0,0,0,0,1
92,100,1,1,1,0,0.0648,0.295,0.0472,1,0,0,0,0,0,0,0,0,0,0,0,1
94,100,1,1,1,0,0.0178,0.058,0.0604,1,0,0,0,0,0,0,0,0,0,0,0,1
95,96,1,1,1,0,0.0171,0.0547,0.01474,1,0,0,0,0,0,0,0,0,0,0,0,1
96,97,1,1,1,0,0.0173,0.0885,0.024,1,0,0,0,0,0,0,0,0,0,0,0,1
98,100,1,1,1,0,0.0397,0.179,0.0476,1,0,0,0,0,0,0,0,0,0,0,0,1
99,100,1,1,1,0,0.018,0.0813,0.0216,1,0,0,0,0,0,0,0,0,0,0,0,1
100,101,1,1,1,0,0.0277,0.1262,0.0328,1,0,0,0,0,0,0,0,0,0,0,0,1
92,102,1,1,1,0,0.0123,0.0559,0.01464,1,0,0,0,0,0,0,0,0,0,0,0,1
101,102,1,1,1,0,0.0246,0.112,0.0294,1,0,0,0,0,0,0,0,0,0,0,0,1
100,103,1,1,1,0,0.016,0.0525,0.0536,1,0,0,0,0,0,0,0,0,0,0,0,1
100,104,1,1,1,0,0.0451,0.204,0.0541,1,0,0,0,0,0,0,0,0,0,0,0,1
103,104,1,1,1,0,0.0466,0.1584,0.0407,1,0,0,0,0,0,0,0,0,0,0,0,1
103,105,1,1,1,0,0.0535,0.1625,0.0408,1,0,0,0,0,0,0,0,0,0,0,0,1
100,106,1,1,1,0,0.0605,0.229,0.062,1,0,0,0,0,0,0,0,0,0,0,0,1
104,105,1,1,1,0,0.00994,0.0378,0.00986,1,0,0,0,0,0,0,0,0,0,0,0,1
105,106,1,1,1,0,0.014,0.0547,0.01434,1,0,0,0,0,0,0,0,0,0,0,0,1
105,107,1,1,1,0,0.053,0.183,0.0472,1,0,0,0,0,0,0,0,0,0,0,0,1
105,108,1,1,1,0,0.0261,0.0703,0.01844,1,0,0,0,0,0,0,0,0,0,0,0,1
106,107,1,1,1,0,0.053,0.183,0.0472,1,0,0,0,0,0,0,0,0,0,0,0,1
108,109,1,1,1,0,0.0105,0.0288,0.0076,1,0,0,0,0,0,0,0,0,0,0,0,1
103,110,1,1,1,0,0.03906,0.1813,0.0461,1,0,0,0,0,0,0,0,0,0,0,0,1
109,110,1,1,1,0,0.0278,0.0762,0.0202,1,0,0,0,0,0,0,0,0,0,0,0,1
110,111,1,1,1,0,0.022,0.0755,0.02,1,0,0,0,0,0,0,0,0,0,0,0,1
110,112,1,1,1,0,0.0247,0.064,0.062,1,0,0,0,0,0,0,0,0,0,0,0,1
17,113,1,1,1,0,0.00913,0.0301,0.00768,1,0,0,0,0,0,0,0,0,0,0,0,1
32,113,1,1,1,0,0.0615,0.203,0.0518,1,0,0,0,0,0,0,0,0,0,0,0,1
32,114,1,1,1,0,0.0135,0.0612,0.01628,1,0,0,0,0,0,0,0,0,0,0,0,1
27,115,1,1,1,0,0.0164,0.0741,0.01972,1,0,0,0,0,0,0,0,0,0,0,0,1
114,115,1,1,1,0,0.0023,0.0104,0.00276,1,0,0,0,0,0,0,0,0,0,0,0,1
68,116,1,1,1,0,0.00034,0.00405,0.164,1,0,0,0,0,0,0,0,0,0,0,0,1
12,117,1,1,1,0,0.0329,0.14,0.0358,1,0,0,0,0,0,0,0,0,0,0,0,1
75,118,1,1,1,0,0.0145,0.0481,0.01198,1,0,0,0,0,0,0,0,0,0,0,0,1
76,118,1,1,1,0,0.0164,0.0544,0.01356,1,0,0,0,0,0,0,0,0,0,0,0,1
